HA,3,24,w1,w2,w3
644,21,33,1,4,4
645,21,41,-4,3,-4
646,21,41,4,3,4
647,22,4,-2,0,0
648,22,5,0,2,-1
649,22,8,0,2,2
650,22,11,-1,-3,1
651,22,11,1,-1,-3
652,22,11,1,-1,3
653,22,11,3,1,-1
654,22,13,-2,0,-3
655,22,13,-2,0,3
656,22,14,-1,-3,-2
657,22,14,3,1,2
658,22,19,-3,3,-1
659,22,20,0,2,-4
660,22,20,4,-2,0
661,22,21,-4,-2,1
662,22,21,2,-4,1
663,22,21,2,4,1
664,22,22,-3,3,2
665,22,24,-4,-2,-2
666,22,24,2,-4,-2
667,22,24,2,4,-2
668,22,26,-1,-3,4
669,22,26,3,1,-4
670,22,29,4,-2,-3
671,22,29,4,-2,3
672,22,34,-3,3,-4
673,22,36,-4,-2,4
674,22,36,2,-4,4
675,22,36,2,4,4
676,23,5,2,-1,0
677,23,6,1,2,-1
678,23,9,1,2,2
679,23,10,-1,0,-3
680,23,10,-1,0,3
681,23,10,0,-3,1
682,23,13,0,-3,-2
683,23,14,-3,-2,1
684,23,14,-2,3,-1
685,23,14,2,-1,-3
686,23,14,2,-1,3
687,23,17,-4,1,0
688,23,17,-3,-2,-2
689,23,17,-2,3,2
690,23,18,4,1,-1
691,23,21,1,2,-4
692,23,21,4,1,2
693,23,25,0,-3,4
694,23,26,-4,1,-3
695,23,26,-4,1,3
696,23,26,3,-4,1
697,23,26,3,4,1
698,23,29,-3,-2,4
699,23,29,-2,3,-4
700,23,29,3,-4,-2
701,23,29,3,4,-2
702,23,33,4,1,-4
703,23,41,3,-4,4
704,23,41,3,4,4
